58,143
62,142
66,141
70,140
74,139
78,138
82,137
86,136
90,135
94,134
98,132
102,130
106,128
110,127
114,125
118,123
122,121
126,120
130,118
134,116
138,114
142,113
146,111
150,109
154,107
158,106
162,104
166,104
170,104
174,104
178,104
182,104
186,104
190,104
194,104
198,104
202,104
206,104
210,104
214,104
218,104
222,104
226,104
230,104
234,104
238,104
242,104
246,104
250,104
254,104
258,104
262,104
266,104
270,104
274,104
278,104
282,104
286,104
290,104
294,104
298,104
302,104
306,104
310,104
314,104
318,104
322,104
326,104
330,104
334,104
338,104
342,104
346,104
350,104
354,104
358,104
362,104
366,104
370,104
374,104
378,104
382,104
386,104
390,104
394,103
398,103
402,102
406,101
410,101
414,102
418,103
422,104
426,105
430,105
434,106
438,107
442,108
446,109
450,110
454,110
458,111
462,112
466,113
470,114
474,114
478,115
482,116
486,117
490,118
494,119
498,119
502,120
506,121
510,122
514,123
518,123
522,124
526,125
530,126
534,127
538,128
542,128
546,129
550,130
554,131
558,132
562,132
566,133
570,134
574,136
578,138
582,140
586,142
590,144
594,146
598,148
602,150
606,152
610,154
614,156
614,160
614,164
614,168
614,172
614,176
614,180
614,184
614,188
614,192
614,196
614,200
614,204
614,208
614,212
615,216
616,220
617,224
618,228
618,232
619,236
620,240
616,242
612,244
608,246
604,248
600,250
596,252
592,254
588,256
584,258
580,260
576,262
572,264
568,266
564,268
560,270
556,272
552,274
548,276
544,277
540,279
536,281
532,283
528,284
524,286
520,288
516,290
512,291
508,293
504,295
500,297
496,298
492,300
488,302
484,304
480,305
476,307
472,309
468,310
464,312
460,314
456,316
452,317
448,319
444,321
440,323
436,324
432,326
428,328
424,330
420,331
416,331
412,331
408,331
404,331
400,331
396,331
392,331
388,331
384,331
380,331
376,331
372,331
368,331
364,331
360,331
356,331
352,331
348,331
344,331
340,331
336,331
332,331
328,331
324,331
320,331
316,331
312,331
308,331
304,331
300,331
296,331
292,331
288,331
284,331
280,331
276,331
272,331
268,331
264,331
260,331
256,331
252,331
248,331
244,331
240,331
236,330
232,330
228,329
224,328
223,332
222,336
221,340
220,344
219,348
218,352
217,356
216,360
215,364
213,368
211,372
210,376
208,380
206,384
204,388
203,392
201,396
199,400
197,404
196,408
194,412
192,416
190,420
189,424
193,425
197,426
201,427
205,428
209,429
213,430
217,431
221,432
225,433
229,434
233,435
237,436
241,437
245,438
249,438
253,439
257,440
261,441
265,442
269,443
273,443
277,444
281,445
285,446
289,447
293,447
297,448
301,449
305,450
309,451
313,451
317,452
321,453
325,454
329,455
333,456
337,456
341,457
345,458
349,459
353,460
357,460
361,461
365,462
369,463
373,464
377,465
381,465
385,466
389,467
393,468
397,469
401,469
405,470
409,471
413,472
417,473
421,474
425,474
429,475
433,476
437,477
441,478
445,478
449,479
453,480
457,478
461,476
465,474
469,472
473,470
477,468
481,466
485,464
489,462
493,460
497,458
501,456
505,454
509,452
513,450
517,448
521,446
525,444
528,441
532,438
536,435
540,432
544,429
548,426
552,423
556,420
553,417
550,414
547,411
544,408
541,405
538,402
535,399
532,396
529,393
526,390
523,387
520,384
517,381
514,378
511,375
508,372
505,369
502,366
498,364
495,361
491,359
488,356
484,353
480,350
476,347
472,344
468,341
464,338
460,337
456,336
452,335
448,334
444,333
440,332
436,331
432,330
428,329
424,328
420,327
416,326
412,325
408,324
404,323
400,322
396,321
392,320
388,319
384,318
380,317
376,316
372,315
368,314
364,313
360,312
356,311
352,310
348,309
344,308
340,307
336,306
332,305
328,304
324,303
320,302
316,301
312,300
308,299
304,298
300,297
296,296
292,295
288,294
284,293
280,291
276,290
272,288
268,286
264,284
260,283
256,281
252,279
248,277
244,276
240,274
236,272
232,270
228,269
224,267
220,265
216,264
212,263
208,262
204,261
200,260
196,259
192,258
188,257
184,256
180,255
176,254
172,253
168,252
164,252
160,251
156,250
152,249
148,248
144,247
140,247
136,246
132,245
128,244
124,243
120,243
116,242
112,241
108,240
106,236
104,232
102,228
100,224
98,220
96,216
94,212
92,208
90,204
88,200
86,196
84,192
82,188
80,184
78,180
76,176
74,172
71,169
69,165
66,162
63,159
